team_id,team_name,league_ids,team_crest,team_url,last_updated,country,city,stadium,other_names,abbreviations,search_terms
SENMmweG,Plzen,EUROPE_EUROPA_LEAGUE,https://static.flashscore.com/res/image/data/bqVYEnjT-MXYEMX6S.png,https://www.flashscore.com/team/panathinaikos/SENMmweG/,2026-02-26T14:32:45.873149+00:00,CZ,Plzeň,Doosan Arena,['Viktoria Plzeň'],['FCVP'],"['fcvp', 'plzen', 'fc viktoria plzen', 'viktoria plzen']"
2LA0e86b,Panathinaikos,EUROPE_EUROPA_LEAGUE,https://static.flashscore.com/res/image/data/jTnDg1CN-GM4Cu0wi.png,https://www.flashscore.com/team/plzen/2LA0e86b/,2026-02-26T14:32:45.873149+00:00,GR,Athens,Apostolos Nikolaidis Stadium,"['Pana', 'The Greens', 'Trifylli']",['PAO'],"['the greens', 'panathinaikos fc', 'panathinaikos', 'pao', 'pana', 'trifylli']"
QFKRRD8M,Stuttgart,EUROPE_EUROPA_LEAGUE,https://static.flashscore.com/res/image/data/fgQWGn86-f1Z3XxZa.png,https://www.flashscore.com/team/celtic/QFKRRD8M/,2026-02-26T14:32:45.873149+00:00,RS,Belgrade,Rajko Mitić Stadium,"['Red Star Belgrade', 'Crvena Zvezda Beograd', 'Red Star']","['FKCZ', 'RSB']","['rsb', 'fk crvena zvezda', 'red star belgrade', 'crvena zvezda beograd', 'fkcz', 'crvena zvezda', 'red star']"
nJQmYp1B,Celtic,EUROPE_EUROPA_LEAGUE,https://static.flashscore.com/res/image/data/boc068VH-Y1XXO0Va.png,https://www.flashscore.com/team/vfb-stuttgart/nJQmYp1B/,2026-02-26T14:32:45.873149+00:00,GB,Glasgow,Celtic Park,"['The Bhoys', 'The Hoops', 'The Celts']",['CFC'],"['celtic', 'the celts', 'celtic football club', 'cfc', 'the hoops', 'the bhoys']"
0M9xNN8N,Bologna,EUROPE_EUROPA_LEAGUE,https://static.flashscore.com/res/image/data/6ovaa9T0-McvX4bye.png,https://www.flashscore.com/team/bologna/0M9xNN8N/,2026-02-26T17:57:53.667517+00:00,IT,Bologna,Stadio Renato Dall'Ara,"['Bologna FC', 'Rossoblù']",['BFC'],"['bfc', 'rossoblu', 'bologna fc', 'bologna', 'bologna football club 1909']"
QBbt6ivB,Brann,EUROPE_EUROPA_LEAGUE,https://static.flashscore.com/res/image/data/nN0xKnjC-WtiGCgXQ.png,https://www.flashscore.com/team/brann/QBbt6ivB/,2026-02-26T17:57:53.667517+00:00,FR,Lille,Stade Pierre-Mauroy,"['LOSC Lille', 'Les Dogues']",['LOSC'],"['losc lille', 'losc', 'lille', 'lille olympique sporting club', 'les dogues']"
8pvUZFhf,Celta Vigo,EUROPE_EUROPA_LEAGUE,https://static.flashscore.com/res/image/data/INW8oRBN-SOY3p1Si.png,https://www.flashscore.com/team/celta-vigo/8pvUZFhf/,2026-02-26T17:57:53.667517+00:00,ES,Vigo,Abanca Balaídos,"['Celta', 'Os Celestes']",['RCCV'],"['os celestes', 'rccv', 'real club celta de vigo sad', 'celta vigo', 'celta']"
Kry6HxA9,PAOK,EUROPE_EUROPA_LEAGUE,https://static.flashscore.com/res/image/data/StctWES0-pvWT1yik.png,https://www.flashscore.com/team/paok/Kry6HxA9/,2026-02-26T17:57:53.667517+00:00,GR,Thessaloniki,Toumba Stadium,"['PAOK FC', 'Dikefalos tou Vorra', 'The Black and Whites']",['PAOK'],"['paok fc', 'panthessalonikios athlitikos omilos konstantinoupoliton', 'the black and whites', 'dikefalos tou vorra', 'paok']"
8G5ufQTg,Genk,EUROPE_EUROPA_LEAGUE,https://static.flashscore.com/res/image/data/pxtsZIR0-YB0frRRP.png,https://www.flashscore.com/team/din-zagreb/8G5ufQTg/,2026-02-26T17:57:53.667517+00:00,FR,Lille,Stade Pierre-Mauroy,"['LOSC Lille', 'LOSC']",['LOSC'],"['lille', 'losc lille', 'lille olympique sporting club', 'losc']"
r3jWUIiN,Din. Zagreb,EUROPE_EUROPA_LEAGUE,https://static.flashscore.com/res/image/data/61ZybnhT-GU4hlIMk.png,https://www.flashscore.com/team/genk/r3jWUIiN/,2026-02-26T17:57:53.667517+00:00,HR,Zagreb,Stadion Maksimir,"['GNK Dinamo Zagreb', 'Dinamo Zagreb', 'Dinamo']","['GNK Dinamo', 'Dinamo']","['dinamo', 'din zagreb', 'graanski nogometni klub dinamo zagreb', 'gnk dinamo zagreb', 'gnk dinamo', 'dinamo zagreb']"
MsbmracL,Nottingham,EUROPE_EUROPA_LEAGUE,https://static.flashscore.com/res/image/data/86ODdyle-ImKwLTtA.png,https://www.flashscore.com/team/fenerbahce/MsbmracL/,2026-02-26T17:57:53.667517+00:00,GB,Nottingham,City Ground,"['Forest', 'The Reds', 'The Garibaldis']","['NFFC', 'Forest']","['forest', 'nffc', 'the reds', 'the garibaldis', 'nottingham', 'nottingham forest football club']"
UsushcZr,Fenerbahce,EUROPE_EUROPA_LEAGUE,https://static.flashscore.com/res/image/data/drRgiLlC-llnQ8REs.png,https://www.flashscore.com/team/nottingham/UsushcZr/,2026-02-26T17:57:53.667517+00:00,TR,Istanbul,Şükrü Saracoğlu Stadium,"['Fenerbahçe SK', 'Fener']",['FB'],"['fener', 'fenerbahce spor kulubu', 'fb', 'fenerbahce', 'fenerbahce sk']"
SpbURe4O,Celje,EUROPE_CONFERENCE_LEAGUE,https://static.flashscore.com/res/image/data/dzJvOb96-juuH5vx4.png,https://www.flashscore.com/team/celje/SpbURe4O/,2026-02-26T14:32:45.873149+00:00,SI,Celje,Stadion Z'dežele,['NK Celje'],['NKC'],"['nk celje', 'nogometni klub celje', 'celje', 'nkc']"
bwWOjXUP,Drita,EUROPE_CONFERENCE_LEAGUE,https://static.flashscore.com/res/image/data/CGGpODme-xYt3Tt4D.png,https://www.flashscore.com/team/drita/bwWOjXUP/,2026-02-26T14:32:45.873149+00:00,XK,Gjilan,Gjilan City Stadium,['KF Drita'],['KFD'],"['kf drita', 'kfd', 'klubi futbollistik drita', 'drita']"
Q3A3IbXH,Fiorentina,EUROPE_CONFERENCE_LEAGUE,https://static.flashscore.com/res/image/data/fZhEFLjT-6XKdgOM6.png,https://www.flashscore.com/team/fiorentina/Q3A3IbXH/,2026-02-26T14:32:45.873149+00:00,IT,Florence,Stadio Artemio Franchi,"['La Viola', 'Gigliati']",['ACF'],"['gigliati', 'acf fiorentina', 'acf', 'la viola', 'fiorentina']"
lIDaZJTc,Jagiellonia,EUROPE_CONFERENCE_LEAGUE,https://static.flashscore.com/res/image/data/za7ZvbPq-G09MInrR.png,https://www.flashscore.com/team/jagiellonia/lIDaZJTc/,2026-02-26T14:32:45.873149+00:00,PL,Białystok,Stadion Miejski (Białystok),['Jaga'],['Jaga'],"['jaga', 'jagiellonia', 'jagiellonia biaystok']"
GSLWiAPe,Rijeka,EUROPE_CONFERENCE_LEAGUE,https://static.flashscore.com/res/image/data/tnwEgSTH-YDFGOnMF.png,https://www.flashscore.com/team/omonia/GSLWiAPe/,2026-02-26T14:32:45.873149+00:00,HR,Rijeka,Stadion Rujevica,['HNK Rijeka'],['HNK'],"['hrvatski nogometni klub rijeka', 'rijeka', 'hnk', 'hnk rijeka']"
pSc6z7bf,Samsunspor,EUROPE_CONFERENCE_LEAGUE,https://static.flashscore.com/res/image/data/65PgANkC-StKLPBm2.png,https://www.flashscore.com/team/samsunspor/pSc6z7bf/,2026-02-26T14:32:45.873149+00:00,TR,Samsun,Samsun Yeni 19 Mayıs Stadyumu,['Samsunspor'],['Samsunspor'],"['samsunspor kulubu', 'samsunspor']"
